l_cv/l_ev,l_cv,l_ev,Q_wv,max_T,min_T
1,4,4,1,329.0175,301.4243
1,4,4,2,355.6774,311.7877
1,4,4,3,377.2214,319.719
1,4,4,4,400.0556,328.3819
1,4,4,5,424.3858,338.4039
1,4,4,6,447.1069,348.8774
1,4,4,7,468.7437,359.4729
1,4,4,8,489.6834,370.0299
1,4,4,9,509.987,380.6362
1,4,4,10,528.7592,391.2915
1,4,4,11,545.3776,401.9526
1,4,4,12,560.7536,412.6278
1,4,4,13,576.7612,423.3064
0.2,4,20,1,329.8281,305.1789
0.2,4,20,2,349.37,314.1888
0.2,4,20,3,366.7301,321.3438
0.2,4,20,4,385.9881,329.2831
0.2,4,20,5,405.1823,338.6865
